Index,Country,Year,Happiness Rank,Happiness Score,Freedom,Generosity,Life Expectancy,GDP/capita,Corruption
389,Hungary,2017,75,5.32399988174438,0.175863519310951,0.0784016624093056,0.687763452529907,1.881670601360882,0.0366369374096394
390,Jamaica,2017,76,5.31099987030029,0.474307239055634,0.233818337321281,0.641022384166718,2.8892010193256725,0.0552677810192108
391,Croatia,2017,77,5.29300022125244,0.255772292613983,0.248002976179123,0.701288521289825,1.6068568439608597,0.0431031100451946
392,Kosovo,2017,78,5.27899980545044,0.260287940502167,0.319931447505951,0.541452050209045,1.9238915813383237,0.0574716180562973
393,China,2017,79,5.27299976348877,0.472787708044052,0.0288068410009146,0.741415500640869,2.16067354612956,0.0227942746132612
394,Pakistan,2017,80,5.26900005340576,0.23521526157856,0.315446019172668,0.402047783136368,2.784003500959671,0.124348066747189
395,Indonesia,2017,81,5.26200008392334,0.443323463201523,0.611704587936401,0.492345720529556,1.8138107159052277,0.0153171354904771
396,Venezuela,2017,82,5.25,0.153997123241425,0.0650196298956871,0.617144227027893,2.464477949814702,0.0644911229610443
397,Montenegro,2017,83,5.23699998855591,0.194989055395126,0.197911024093628,0.667464673519135,2.649523996760844,0.0881741940975189
398,Morocco,2017,84,5.2350001335144,0.408158332109451,0.0322099551558495,0.59771066904068,2.435421884381664,0.0877631828188896
399,Azerbaijan,2017,85,5.23400020599365,0.398155838251114,0.0452693402767181,0.540775775909424,1.6006023065449975,0.180987507104874
400,Dominican Republic,2017,86,5.23000001907349,0.55258983373642,0.186967849731445,0.574873745441437,2.8389946698085256,0.113945253193378
401,Greece,2017,87,5.22700023651123,0.0957312509417534,0.0,0.810198903083801,2.51062066633507,0.04328977689147
402,Lebanon,2017,88,5.22499990463257,0.288515985012054,0.264450758695602,0.735081076622009,3.189646195040176,0.037513829767704
403,Portugal,2017,89,5.19500017166138,0.498465299606323,0.0951027125120163,0.795843541622162,3.0438403768270628,0.0158694516867399
404,Bosnia and Herzegovina,2017,90,5.18200016021729,0.204403176903725,0.328867495059967,0.705186307430267,2.024494419493527,0.0
405,Honduras,2017,91,5.18100023269653,0.348079860210419,0.236188873648643,0.582569479942322,1.2074008604174666,0.0733454525470734
406,Macedonia,2017,92,5.17500019073486,0.325905978679657,0.25376096367836,0.644948184490204,2.085044087268261,0.0602777935564518
407,Somalia,2017,93,5.15100002288818,0.602126955986023,0.291631311178207,0.113989137113094,2.505554331310171,0.282410323619843
408,Vietnam,2017,94,5.07399988174438,0.571055591106415,0.234968051314354,0.652168989181519,1.0866287353699484,0.0876332372426987
409,Nigeria,2017,95,5.07399988174438,0.394952565431595,0.230947196483612,0.0569157302379608,2.407695341182906,0.0261215660721064
410,Tajikistan,2017,96,5.04099988937378,0.471566706895828,0.248997643589973,0.529235124588013,2.2984385475183697,0.146377146244049
